username,TH
00b6dd4fc7eb817e03708c532016ef30ce564a61,5
00bef8afee8f3c595d535c9c03c490cac1a4f021,8.5
01122b3ef7e59b84189e65985305f575d6bdf83c,7
013de369c439ab0ead8aa7da64423aa395a8be39,10
014c59c6433fd764a0b08de6ffeb757eaf60aa73,6
0155f91fe242fe55e1af631b0f0afbe9938b185c,7.5
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,8
017ec1bbad0d598e5a86ac3bd595b870b6456e61,8.5
01ad03ec301749c033155fc17e657cc767d447c8,7.5
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,5.5
020f253c343856ea875e959023e79fb1d4d9c0a3,10
0248e16d134e1bd5b4352701e1f23b904b7c4cdf,8.5
024af5e4f76c23e7f08616c60e595453e538a1ba,9
0297fd76b36e100882756e636bb03031255f57da,5.5
02c88d535d7393d30ce3338174d0a17ee7e8b8cc,5
02f8a629f1a01a476de3944da2860d1c107f1b28,7.5
0304aa9c12a1c900dcb4413c6a4ce40cc05b1696,7.5
0306a80129ed6d5afadece8164929697bbbdea69,6.5
0341249377940c004d0823408ace7cddbddbc923,9
0367f82909c46a900501cc32d02b913923f75314,10
038dfa39ea11eb199e32e61fa4bd264d6d7ebc72,7.5
041dc9a457bc7a9f1dcb5b215aaa78a6868483f5,8
045792bbf5167d31c0064c8520d189a09f276502,8
04d32bf7b10a238244d3e1acc3bcf53a449daf99,5
04fea422f4b51279771239f896f7acb7224a2def,10
04feabadb3e2d863eded075f541be8ff78d50474,7.5
052039d5c5915699359b1d549b36ea69330c0ac3,6.5
05203b8a827f60a7cbb49a7d04a0b45dae39fa8d,9.5
05218d5a6d67f5c1d6305dffb907e940260304c1,8.5
0538762f44e8dfb07dc26c8c771f06080b9b2dee,5
056711f171807d5b28f83e7afeb3d7e18ec3a5d9,4.5
0577e3c1b0a6df46c7fef07f400b42811cc77250,8
057b868ab03f5596f4a8c2e579c401f2fe9a2dfe,5.5
05b134c1a682085880fb7ce76d221a48955e5b8a,10
05b7c7d664702d3677ddbf5a03e976e24b16544c,6.5
05ed34d40112c0d0c446cb9c00fa6e14851a7aa1,9.5
05f7b04136abf33daf80973c0942a91751222e1e,4.5
0601ede7fba3727ac6cae3653b12cebafea42863,9.5
06024da8147b5cf6105beb4c403f67cf1ff0aea1,
0603b8a222e368a7727190b2883c7ad7b96ce5ac,8.5
061a128e882272cd17340c8feb637cd0ff9e5dbf,8.5
062e8c58d3f85428aeed19095d12dcab6806f2ac,7.5
063c339a318b967ec77cd523f9ae4c62a7afa083,6
06490d06037ae75484a0a36a7a46e126b0b49495,9.5
0659d0431565eaacdc601973560ee8331f910947,8.5
06b43a9d40f16603a72a6333318a5086b7bb7e12,9.5
070671333adf94dadc433fcafc872c6301dd0744,4
073de6e606b6b7f3f44a8e8301ee87c3c978a2e2,8.5
076cc92aff4d582b4b87ff0d111496e4a646b12b,8.5
0785a61c54bc37c6ddad3c02b29d1f9e15adf85b,6
0799ab89dacde8042474f7bfe75a739fd151b73d,5.5
080df7c3716ee6b773c346c67056400fc235ffec,8
081cbf0e54173c1b4c90be93a514521bc9c710fb,8
081f6737145108d2cfb3e432f03d59670bae3ded,8.5
0821ac06ae77101d7dd9b8dd103f79ffa46657ab,4
08399013cfa671c37b50b71ef25f1b2fd606c009,9.5
08838c74dc4154d8f49b1408d27fb46ccb92d329,2.5
08b8ccf18df77b125fb5306e9ffb55ad284e1872,8
091ed1fe8fc042e202205f09f3d49a065c0f4da2,9.5
092370bceb84374c83ca09e8d8f93c837d923bc7,9.5
09cbbae64d03af8ca53224aaef7657171ba27f50,9
09cbe188b9d1e965edf6c1c46a96b9306ec2f329,9
0a2c78cee9afdc522c5f0fae46937138f47b152b,5
0a99205e11c0c6d86b348a926f693d6529e0210f,8
0a9b6ec3e82e8a2527b21eb3420a6d9b72f4f71e,7.5
0aad9682c3c4280eb05dbd27e6cab55f4b1ae4b4,9
0ac20d28419a43394bc94b257c7aab70e87f1675,7.5
0aee33404db5dc946de8c70be37c6e82582885c6,10
0af47eed4e0bd9c21637fc39db8fc17fedb6b1c0,4.5
0aff6f7083979073168bbdd6c227015eb09eced9,3.5
0b066d297dd2f4288d95b0f4a92a8af79b542bf3,7
0b18b1d653e0d031e1aee9129432b668c4264d3f,8
0b26c12ecc1bc4c1f127d5e6f6302b1b0b584faf,1
0b4355398b9c16ac0a7f559752e83b655f5aa6c7,9.5
0ba5c041f797e8baecc5f32034046994b801cbcf,6
0bd2037bf68a97753e5e67ab55dac026a649f279,4.5
0bd4c0cd006b55dbfa7806aa4b45926119ce9540,7
0bf71ee0dbde0fb1033887111d3094c61e66f44b,10
0c67423aa82630d4406e9477bb7462db4df09c4d,10
